param_name,position_fraction,year,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,best_trade,worst_trade,final_equity,total_equity_return,max_drawdown
C_v701b_best_like,1.5,2024,13,1,12,0.538462,0.00216614,0.00471877,0.02815985,1.859038,0.0099638,-0.00609605,104226.98,0.04226982,-0.02321747
C_v701b_best_like,1.5,2025,17,2,15,0.352941,-0.00041303,-0.00603515,-0.00702145,0.894613,0.00996584,-0.0060965,98841.91,-0.01158092,-0.04455422
C_v701b_best_like,1.5,2026,7,0,7,0.428571,0.00079139,-0.00603451,0.00553971,1.228465,0.00996611,-0.00608999,100784.43,0.00784433,-0.01802203
C_v701b_best_like,2.0,2018,26,2,24,0.423077,0.00060379,-0.00603252,0.01569849,1.182376,0.00996612,-0.006094,102880.7,0.02880696,-0.05931893
C_v701b_best_like,2.0,2019,27,2,25,0.555556,0.00209233,0.00240507,0.05649287,1.88361,0.00996481,-0.00609924,111634.04,0.11634035,-0.0524306
C_v701b_best_like,2.0,2020,21,4,17,0.428571,-0.00022571,-0.00603405,-0.00473986,0.934906,0.00996623,-0.00609726,98846.86,-0.01153139,-0.05523838
C_v701b_best_like,2.0,2021,18,3,15,0.666667,0.00277572,0.00180163,0.0499629,2.822739,0.0099668,-0.00608719,110320.08,0.10320077,-0.02707945
C_v701b_best_like,2.0,2022,30,2,28,0.333333,-0.00072039,-0.00603764,-0.0216116,0.821518,0.00996478,-0.00610042,95441.71,-0.04558291,-0.09302066
C_v701b_best_like,2.0,2023,15,2,13,0.466667,0.00139414,-0.00603746,0.02091203,1.430587,0.00996372,-0.00609916,104067.37,0.04067374,-0.04767036
C_v701b_best_like,2.0,2024,13,1,12,0.538462,0.00216614,0.00471877,0.02815985,1.859038,0.0099638,-0.00609605,105636.2,0.05636203,-0.03094228
C_v701b_best_like,2.0,2025,17,2,15,0.352941,-0.00041303,-0.00603515,-0.00702145,0.894613,0.00996584,-0.0060965,98410.24,-0.01589759,-0.05904737
C_v701b_best_like,2.0,2026,7,0,7,0.428571,0.00079139,-0.00603451,0.00553971,1.228465,0.00996611,-0.00608999,101025.14,0.01025142,-0.02399296
