run_id,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,final_equity,total_equity_return,max_drawdown,score,wf_id
627,0.005,0.01,0.008,5,40,60,22,15,7,0.636364,0.00189885,0.00285025,0.04177466,1.932767,101256.4,0.01256399,-0.00526042,0.02734414,4
951,0.007,0.01,0.008,5,40,60,20,14,6,0.65,0.00196222,0.00285025,0.03924439,1.922692,101179.69,0.01179694,-0.00526042,0.02721079,4
1244,0.01,0.01,0.006,7,35,55,25,0,25,0.52,0.0018866,0.00465591,0.047165,1.647026,101417.77,0.01417768,-0.0072922,0.02720992,4
708,0.007,0.006,0.006,7,40,60,21,15,6,0.666667,0.00184043,0.0059201,0.0386491,1.910307,101162.89,0.01162893,-0.00364773,0.02711509,4
599,0.005,0.01,0.006,7,40,55,63,15,48,0.492063,0.00120145,-4.685e-05,0.07569164,1.427978,102281.03,0.02281026,-0.00973502,0.02703678,4
942,0.007,0.01,0.008,4,40,60,20,14,6,0.65,0.00187607,0.00278083,0.03752131,1.935349,101127.88,0.01127876,-0.00482694,0.02617785,4
500,0.005,0.008,0.006,9,40,55,64,15,49,0.5,0.00116681,0.00385459,0.07467608,1.416391,102251.36,0.02251361,-0.01032741,0.02591982,4
644,0.005,0.01,0.008,9,40,55,59,15,44,0.525424,0.00125005,0.00153916,0.07375293,1.380981,102218.52,0.02218521,-0.01172404,0.02530647,4
294,0.003,0.01,0.008,4,40,60,22,15,7,0.636364,0.00174435,0.00278083,0.03837573,1.895022,101153.71,0.01153706,-0.00482694,0.02511902,4
618,0.005,0.01,0.008,4,40,60,22,15,7,0.636364,0.00174435,0.00278083,0.03837573,1.895022,101153.71,0.01153706,-0.00482694,0.02511902,4
726,0.007,0.006,0.008,4,40,60,21,15,6,0.714286,0.00175085,0.00293771,0.03676775,2.061411,101106.2,0.01106196,-0.00482694,0.02470886,4
834,0.007,0.008,0.008,4,40,60,20,14,6,0.65,0.0017697,0.00278083,0.03539393,1.882316,101063.71,0.01063712,-0.00482694,0.02447253,4
1256,0.01,0.01,0.006,9,40,55,36,11,25,0.472222,0.0015373,-0.00363937,0.05534279,1.500564,101663.66,0.01663663,-0.00943804,0.0244592,4
67,0.003,0.006,0.006,9,40,50,151,16,135,0.549669,0.00060226,0.00590452,0.09094195,1.226341,102741.06,0.02741063,-0.01131209,0.0243836,4
87,0.003,0.006,0.008,5,40,60,23,16,7,0.652174,0.00168239,0.00592154,0.03869492,1.864001,101163.85,0.01163845,-0.00526042,0.02425399,4
