pair,side,signal_date,entry_date,exit_date,exit_year,exit_time,entry_price,exit_price,initial_stop,final_stop,exit_reason,bar_hold_days,calendar_hold_days,gross_return,spread_cost_pct,net_return,win,signal_close,signal_ma,signal_atr,signal_prev_high,signal_prev_low,breakout_days,ma_days,atr_days,atr_mult,max_hold_days
GBPUSD=X,SHORT,2023-10-03,2023-10-04,2023-10-05,2023,1696464000,1.2078461647033691,1.2161105973379953,1.2194478579929897,1.2161105973379953,ATR_STOP,2,1,-0.006842289089567799,9.935040032972278e-05,-0.006941639489897522,False,1.209116816520691,1.2437936973571777,0.009668077741350447,1.3142330646514893,1.2116365432739258,60,200,14,1.2,20
USDJPY=X,LONG,2024-03-20,2024-03-21,2024-04-05,2024,1712275200,150.75999450683594,150.90103323800224,148.99530901227678,150.90103323800224,ATR_STOP,12,15,0.0009355182827358703,3.979835645143872e-05,0.0008957199262844315,True,151.03500366210938,146.4475154876709,1.4705712454659599,150.83900451660156,140.2899932861328,60,200,14,1.2,20
USDJPY=X,LONG,2024-04-11,2024-04-12,2024-04-19,2024,1713484800,153.19200134277344,153.8639142717634,152.43445608956472,153.8639142717634,ATR_STOP,6,7,0.004386083627738078,3.9166535768239965e-05,0.0043469170919698385,True,152.96400451660156,147.13252014160156,0.6312877110072544,152.92599487304688,145.92100524902344,60,200,14,1.2,20
GBPUSD=X,SHORT,2024-04-22,2024-04-23,2024-04-24,2024,1713916800,1.235010027885437,1.2453520740781512,1.2467312404087612,1.2453520740781512,ATR_STOP,2,1,-0.008374058476611438,9.716520294613473e-05,-0.008471223679557573,False,1.2375777959823608,1.2569956743717194,0.009767677102770125,1.2890584468841553,1.2392034530639648,60,200,14,1.2,20
USDJPY=X,LONG,2024-04-23,2024-04-24,2024-04-29,2024,1714348800,154.74400329589844,156.53920070103237,153.7894025530134,156.53920070103237,ATR_STOP,4,5,0.011601078987863538,3.8773715764138e-05,0.0115623052720994,True,154.81300354003906,147.69456008911132,0.7955006190708706,154.78399658203125,145.92100524902344,60,200,14,1.2,20
USDJPY=X,LONG,2024-04-29,2024-04-30,2024-05-02,2024,1714608000,156.31399536132812,156.342966570173,154.7532239641462,156.342966570173,ATR_STOP,3,2,0.00018533982691630886,3.838427893887992e-05,0.00014695554797742894,True,158.2239990234375,148.01248512268066,1.300642830984933,157.66600036621094,146.4949951171875,60,200,14,1.2,20
USDJPY=X,LONG,2024-11-14,2024-11-15,2024-11-18,2024,1731888000,156.46800231933594,154.73343113490515,154.46666085379465,154.73343113490515,ATR_STOP,2,3,-0.011085788523654189,3.8346498396231744e-05,-0.01112413502205042,False,155.4290008544922,151.76461471557616,1.6677845546177454,155.29200744628906,139.5780029296875,60,200,14,1.2,20
USDJPY=X,LONG,2025-08-01,2025-08-04,2025-08-04,2025,1754265600,147.34300231933594,147.34300231933594,145.43243277413504,145.43243277413504,MA_EXIT,1,0,0.0,4.072130949928808e-05,-4.072130949928808e-05,False,150.77200317382812,149.63372528076172,1.5921412876674108,150.62600708007812,142.13099670410156,60,200,14,1.2,20
USDJPY=X,LONG,2025-10-08,2025-10-09,2025-10-15,2025,1760486400,152.67999267578125,151.34000592912946,150.79119437081474,151.34000592912946,ATR_STOP,5,6,-0.008776439683863983,3.929787979975287e-05,-0.008815737563663736,False,152.05099487304688,148.31044006347656,1.5739985874720983,151.1999969482422,145.8560028076172,60,200,14,1.2,20
GBPUSD=X,SHORT,2025-10-30,2025-10-31,2025-11-06,2025,1762387200,1.3160146474838257,1.3118616989680698,1.3267601081303189,1.3118616989680698,ATR_STOP,5,6,0.0031557008303031925,9.118439542404473e-05,0.0030645164348791477,True,1.3195397853851318,1.3231984329223634,0.008954550538744246,1.3670727014541626,1.3197661638259888,60,200,14,1.2,20
USDJPY=X,LONG,2025-11-19,2025-11-20,2025-11-21,2025,1763683200,156.99200439453125,156.52122279575892,155.68494655064174,156.52122279575892,ATR_STOP,2,1,-0.002998761628580959,3.821850687963449e-05,-0.0030369801354605936,False,155.54800415039062,147.86331016540527,1.089214869907924,155.4949951171875,146.2169952392578,60,200,14,1.2,20
USDJPY=X,LONG,2026-03-19,2026-03-20,2026-03-31,2026,1774915200,157.9149932861328,158.9325208391462,156.52479378836495,158.9325208391462,ATR_STOP,8,11,0.006443514525373114,3.799512557448138e-05,0.006405519399798633,True,159.7949981689453,151.88097457885743,1.1584995814732142,159.63099670410156,152.2779998779297,60,200,14,1.2,20
GBPUSD=X,SHORT,2026-03-31,2026-04-01,2026-04-08,2026,1775606400,1.3240998983383179,1.3330055441175188,1.3385346685137067,1.3330055441175188,ATR_STOP,6,7,-0.0067258110890100545,9.062760306121484e-05,-0.006816438692071269,False,1.3172800540924072,1.342962441444397,0.012028975146157401,1.3846771717071533,1.3175925016403198,60,200,14,1.2,20
