param_name,position_fraction,date,pair,side,net_return,pnl,equity,peak,drawdown
B_v703_more_trades,0.3,2018-03-22,EURUSD=X,SHORT,-0.006032571198710368,-180.5287147198051,99571.69344355227,100115.90444762101,-0.005435809695486071
B_v703_more_trades,0.3,2018-04-10,EURUSD=X,SHORT,-0.006032513600129996,-180.20027846586112,99391.49316508642,100115.90444762101,-0.007235726296750289
B_v703_more_trades,0.3,2018-04-23,EURUSD=X,SHORT,0.009967647598819162,297.2098134570074,99688.70297854343,100115.90444762101,-0.00426706896805884
B_v703_more_trades,0.3,2018-04-27,GBPUSD=X,SHORT,0.009914306800383193,296.503315758466,99985.2062943019,100115.90444762101,-0.0013054684372101333
B_v703_more_trades,0.3,2018-06-14,EURUSD=X,SHORT,0.009966120001542877,298.9393692924099,100284.1456635943,100284.1456635943,0.0
B_v703_more_trades,0.3,2018-06-15,GBPUSD=X,SHORT,0.00991033600184704,298.1548737553174,100582.30053734963,100582.30053734963,0.0
B_v703_more_trades,0.3,2018-06-22,EURUSD=X,SHORT,-0.006034514401764965,-182.0896023465865,100400.21093500304,100582.30053734963,-0.0018103543205295614
B_v703_more_trades,0.3,2018-06-29,EURJPY=X,LONG,0.009921535394857031,298.83727393282334,100699.04820893586,100699.04820893586,0.0
B_v703_more_trades,0.3,2018-07-06,EURUSD=X,SHORT,-0.006034205998113868,-182.2916402120155,100516.75656872384,100699.04820893586,-0.0018102617994342207
B_v703_more_trades,0.3,2018-07-13,GBPUSD=X,SHORT,0.009909502000402326,298.82130008751676,100815.57786881135,100815.57786881135,0.0
B_v703_more_trades,0.3,2018-07-23,EURUSD=X,SHORT,-0.006034249599547024,-182.503908114893,100633.07396069646,100815.57786881135,-0.001810274879864071
B_v703_more_trades,0.3,2018-07-26,GBPUSD=X,SHORT,-0.006091572000335126,-183.90408469398972,100449.16987600247,100815.57786881135,-0.003634438254033201
B_v703_more_trades,0.3,2018-08-06,EURJPY=X,LONG,-0.00607728333784408,-183.1374199163098,100266.03245608616,100815.57786881135,-0.00545099700207341
B_v703_more_trades,0.3,2018-09-05,GBPUSD=X,SHORT,-0.00609331680025637,-183.28581001791608,100082.74664606825,100815.57786881135,-0.007269027646667037
B_v703_more_trades,0.3,2018-09-07,GBPUSD=X,SHORT,-0.0060929220012450195,-182.9389106954581,99899.80773537279,100815.57786881135,-0.009083617361497764
B_v703_more_trades,0.3,2018-10-04,EURUSD=X,SHORT,0.009965532000568626,298.66641925125316,100198.47415462404,100815.57786881135,-0.006121114685176288
B_v703_more_trades,0.3,2018-10-25,GBPUSD=X,SHORT,0.009907835201625222,297.8249908134957,100496.29914543753,100815.57786881135,-0.0031669582233539995
B_v703_more_trades,0.3,2018-11-16,GBPUSD=X,SHORT,-0.006093998404899433,-183.72728600717778,100312.57185943035,100815.57786881135,-0.004989367913315501
B_v703_more_trades,0.3,2018-11-27,GBPUSD=X,SHORT,0.009906665202930228,298.128919516877,100610.70077894723,100815.57786881135,-0.002032196751683757
B_v703_more_trades,0.3,2018-11-28,EURUSD=X,SHORT,0.009964877999355113,300.7720076075495,100911.47278655478,100911.47278655478,0.0
B_v703_more_trades,0.3,2018-12-10,EURUSD=X,SHORT,-0.006035224000300727,-182.7070027401327,100728.76578381464,100911.47278655478,-0.0018105672000902073
B_v703_more_trades,0.3,2018-12-20,EURUSD=X,SHORT,-0.006035162799548982,-182.37435003088814,100546.39143378375,100911.47278655478,-0.003617837919611344
B_v703_more_trades,0.3,2019-01-11,GBPUSD=X,SHORT,-0.0060942443950716355,-183.82628473200458,100362.56514905175,100911.47278655478,-0.005439496841593616
B_v703_more_trades,0.3,2019-01-29,EURUSD=X,SHORT,-0.002755392687897125,-82.9614834450888,100279.60366560666,100911.47278655478,-0.006261618263015856
B_v703_more_trades,0.3,2019-02-14,EURUSD=X,SHORT,0.009964808398386356,299.7801110381677,100579.38377664483,100911.47278655478,-0.003290894491376317
B_v703_more_trades,0.3,2019-02-14,GBPUSD=X,SHORT,0.009907244799092376,298.93937304512417,100878.32314968995,100911.47278655478,-0.00032850216084878703
B_v703_more_trades,0.3,2019-03-08,EURUSD=X,SHORT,0.009964621200035897,301.56428324444175,101179.8874329344,101179.8874329344,0.0
