pair,side,signal_date,entry_date,exit_date,exit_time,entry_price,exit_price,tp_price,sl_price,exit_reason,bar_hold_days,calendar_hold_days,gross_return,spread_cost_pct,net_return,win,signal_close,signal_ma,signal_rsi,signal_prev_high,signal_prev_low,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min
AUDUSD=X,LONG,2020-09-21,2020-09-22,2020-09-22,1600732800,0.7228301167488098,0.718493136048317,0.7300584179162979,0.718493136048317,SL,1,0,-0.005999999999999947,0.00013834509338070503,-0.006138345093380652,False,0.729341447353363,0.7268509578704834,38.40100152502076,0.738099992275238,0.7161374688148499,0.01,0.01,0.006,7,40,60
AUDUSD=X,SHORT,2020-10-14,2020-10-15,2020-10-15,1602720000,0.7142601609230042,0.7071175593137741,0.7071175593137741,0.7185457218885422,TP,1,0,0.010000000000000056,0.00014000500863827376,0.009859994991361781,True,0.7164401412010193,0.7194616174697877,60.658183004707965,0.7313095927238464,0.7041906118392944,0.01,0.01,0.006,7,40,60
EURJPY=X,SHORT,2020-11-20,2020-11-23,2020-11-24,1606176000,123.18099975585938,123.92008575439453,121.94918975830078,123.92008575439453,SL,2,1,-0.006000000000000028,8.11813511809424e-05,-0.00608118135118097,False,123.20099639892578,123.40640014648437,64.11544789721802,124.39600372314453,121.74400329589844,0.01,0.01,0.006,7,40,60
GBPUSD=X,LONG,2021-03-15,2021-03-16,2021-03-16,1615852800,1.3900278806686401,1.3816877133846284,1.4039281594753266,1.3816877133846284,SL,1,0,-0.005999999999999947,8.632920365761069e-05,-0.0060863292036575575,False,1.3929517269134521,1.3927626419067383,39.57034115116144,1.4148274660110474,1.3823610544204712,0.01,0.01,0.006,7,40,60
GBPUSD=X,SHORT,2021-09-09,2021-09-10,2021-09-20,1632096000,1.3838915824890137,1.3700526666641235,1.3700526666641235,1.3921949319839477,TP,7,10,0.01000000000000002,8.671199501349135e-05,0.009913288004986528,True,1.3767657279968262,1.3786292695999145,64.29267077651161,1.3866932392120361,1.3625277280807495,0.01,0.01,0.006,7,40,60
USDJPY=X,LONG,2021-12-16,2021-12-17,2021-12-27,1640563200,113.68000030517578,114.81680030822754,114.81680030822754,112.99792030334473,TP,7,10,0.010000000000000024,5.277973244100021e-05,0.009947220267559025,True,114.13600158691406,113.95672058105468,38.574573123105736,115.40799713134766,112.88200378417969,0.01,0.01,0.006,7,40,60
GBPUSD=X,LONG,2022-02-03,2022-02-04,2022-02-04,1643932800,1.359619379043579,1.3514616627693177,1.373215572834015,1.3514616627693177,SL,1,0,-0.005999999999999966,8.825999529692914e-05,-0.006088259995296896,False,1.3565024137496948,1.3553344774246217,36.76969308540214,1.3713659048080444,1.3388315439224243,0.01,0.01,0.006,7,40,60
EURUSD=X,SHORT,2022-03-25,2022-03-28,2022-03-29,1648512000,1.098189115524292,1.1047782502174377,1.0872072243690492,1.1047782502174377,SL,2,1,-0.005999999999999957,3.6423599027298136e-05,-0.006036423599027255,False,1.1009578704833984,1.1078369188308717,60.41300147618706,1.1215918064117432,1.0865312814712524,0.01,0.01,0.006,7,40,60
EURJPY=X,LONG,2022-05-10,2022-05-11,2022-05-12,1652313600,137.25999450683594,136.43643453979493,138.6325944519043,136.43643453979493,SL,2,1,-0.005999999999999935,7.285443975084795e-05,-0.0060728544397507835,False,137.7429962158203,136.8736407470703,38.68371379422567,139.60000610351562,135.4499969482422,0.01,0.01,0.006,7,40,60
GBPJPY=X,LONG,2022-06-29,2022-06-30,2022-07-01,1656633600,165.66299438476562,164.66901641845703,167.3196243286133,164.66901641845703,SL,2,1,-0.005999999999999986,0.00010865431997560997,-0.006108654319975596,False,165.79800415039062,164.34140075683592,39.87105660027211,168.56300354003906,162.26499938964844,0.01,0.01,0.006,7,40,60
