date,pair,side,net_return,pnl,equity,peak,drawdown
2022-08-03,EURUSD=X,SHORT,0.009961018800281139,306.5523969198523,102890.56950943993,104089.56534899816,-0.01151888602414819
2022-08-04,EURUSD=X,SHORT,-0.006039379202851994,-186.4185496994727,102704.15095974045,104089.56534899816,-0.013309829708795573
2022-08-05,EURUSD=X,SHORT,0.009960967201541295,306.90980375163616,103011.06076349209,104089.56534899816,-0.010361313181489362
2022-08-10,EURUSD=X,SHORT,-0.006039224800546895,-186.63208586805737,102824.42867762403,104089.56534899816,-0.012154308331793873
2022-08-18,GBPUSD=X,SHORT,0.009900799602344138,305.41321876880494,103129.84189639284,104089.56534899816,-0.009220169662420008
2022-08-19,EURUSD=X,SHORT,0.009960671199449786,308.172733794363,103438.0146301872,104089.56534899816,-0.006259520026108301
2022-09-20,EURUSD=X,SHORT,-0.00604006400080227,-187.43166854467566,103250.58296164252,104089.56534899816,-0.008060196855877444
2022-10-04,EURJPY=X,LONG,0.009929618599522225,307.5716726962314,103558.15463433875,104089.56534899816,-0.00510532168020561
2022-10-17,EURUSD=X,SHORT,-0.006041070399258692,-187.68063076900742,103370.47400356973,104089.56534899816,-0.006908390317678981
2022-10-21,EURUSD=X,SHORT,0.00995937600093762,308.85162539900955,103679.32562896874,104089.56534899816,-0.003941218494418197
2022-11-04,EURUSD=X,SHORT,-0.00604102719756145,-187.89888778482901,103491.42674118391,104089.56534899816,-0.00574638395125171
2022-11-07,EURUSD=X,SHORT,-0.00604028679932138,-187.53536963631262,103303.8913715476,104089.56534899816,-0.007548057048910817
2023-03-07,GBPUSD=X,SHORT,0.009900260797683361,306.8206397981619,103610.71201134575,104089.56534899816,-0.004600397129595923
2023-03-21,EURUSD=X,SHORT,-0.006037457198663055,-187.66357172745123,103423.0484396183,104089.56534899816,-0.006403301878964762
2023-05-12,EURUSD=X,SHORT,0.009963583599438233,309.1392567710661,103732.18769638937,104089.56534899816,-0.0034333667492082443
2023-05-24,EURJPY=X,LONG,-0.006066706689051527,-188.79382709029016,103543.39386929908,104089.56534899816,-0.00524712998721677
2023-05-25,GBPUSD=X,SHORT,0.009903865604963584,307.6439571490045,103851.03782644808,104089.56534899816,-0.002291560366789236
2023-06-14,GBPUSD=X,SHORT,-0.006095549995329922,-189.90875794140396,103661.12906850668,104089.56534899816,-0.00411603486915324
2023-07-21,EURJPY=X,LONG,0.009935939730797524,308.99121925533166,103970.12028776201,104089.56534899816,-0.001147521952231001
2023-07-27,GBPUSD=X,SHORT,-0.00609307080324144,-190.04919130045894,103780.07109646154,104089.56534899816,-0.002973345613452527
2023-08-03,EURUSD=X,SHORT,0.009963716398983895,310.21055888145855,104090.281655343,104090.281655343,0.0
2023-08-25,GBPUSD=X,SHORT,0.009905666801236487,309.325094197406,104399.60674954041,104399.60674954041,0.0
2023-09-05,GBPUSD=X,SHORT,0.009905298406090583,310.2327774998119,104709.83952704023,104709.83952704023,0.0
2023-10-23,EURUSD=X,SHORT,-0.0060379559994796165,-189.6700211330521,104520.16950590718,104709.83952704023,-0.0018113867998438282
2023-10-24,GBPUSD=X,SHORT,-0.006098537998878714,-191.22606761430575,104328.94343829287,104709.83952704023,-0.0036376341561386027
2023-10-31,EURUSD=X,SHORT,-0.0060378627981526375,-188.97715390699176,104139.96628438588,104709.83952704023,-0.005442403934800999
2023-10-31,GBPUSD=X,SHORT,-0.006099156005725823,-190.54977023984907,103949.41651414604,104709.83952704023,-0.007262192515325339
2024-01-05,GBPUSD=X,SHORT,-0.006094672798910726,-190.06130438742218,103759.35520975862,104709.83952704023,-0.00907731614884344
2024-01-24,GBPUSD=X,SHORT,-0.006094531198922628,-189.7093882517907,103569.64582150683,104709.83952704023,-0.010889078912578731
2024-02-02,GBPUSD=X,SHORT,-0.0023634485856218954,-73.43445987906028,103496.21136162776,104709.83952704023,-0.01159039275481899
2024-04-02,EURUSD=X,SHORT,0.006469702163716585,200.87689877483766,103697.0882604026,104709.83952704023,-0.00967197802242925
2024-05-13,GBPUSD=X,SHORT,-0.006096049198173916,-189.6427655228391,103507.44549487976,104709.83952704023,-0.011483104525720877
2024-06-24,EURUSD=X,SHORT,0.004718765425767216,146.52820653321697,103653.97370141298,104709.83952704023,-0.010083730720975681
2024-08-02,EURUSD=X,SHORT,-0.006036982001567582,-187.7271520879169,103466.24654932506,104709.83952704023,-0.011876562731184537
2024-09-26,USDJPY=X,LONG,0.009958228324123077,309.1021520934571,103775.34870141852,104709.83952704023,-0.00892457509096245
2024-10-10,EURUSD=X,SHORT,0.009963795999981066,310.19892128635024,104085.54762270488,104709.83952704023,-0.0059621130846460035
2024-12-13,EURUSD=X,SHORT,0.009962140798896183,311.07446416427996,104396.62208686916,104709.83952704023,-0.002991289467979552
2024-12-13,GBPUSD=X,SHORT,0.009905951202922906,310.2443532427528,104706.86644011192,104709.83952704023,-2.839357735373582e-05
2024-12-17,GBPUSD=X,SHORT,-0.0060950160009786095,-191.4570079094437,104515.40943220248,104709.83952704023,-0.001856846459854844
2024-12-19,EURUSD=X,SHORT,0.009961967598860715,312.35373670357876,104827.76316890605,104827.76316890605,0.0
2025-02-05,EURUSD=X,SHORT,-0.0060385623997424595,-189.90269673625906,104637.86047216979,104827.76316890605,-0.0018115687199227182
2025-02-05,GBPUSD=X,SHORT,-0.006096496795943423,-191.37731433088743,104446.4831578389,104827.76316890605,-0.0036372044918367985
2025-03-03,EURUSD=X,SHORT,-0.006038410397345825,-189.20721895994998,104257.27593887894,104827.76316890605,-0.005442138731014401
2025-03-04,EURUSD=X,SHORT,-0.006038149601039744,-188.8563087347497,104068.4196301442,104827.76316890605,-0.007243725476984042
2025-06-02,EURUSD=X,SHORT,-0.006035154400152467,-188.42069419433344,103879.99893594987,104827.76316890605,-0.009041156696523944
2025-06-06,EURJPY=X,LONG,0.009938702157359404,309.72971085936524,104189.72864680924,104827.76316890605,-0.006086503258385556
2025-06-24,GBPUSD=X,SHORT,-0.006089306405781576,-190.3329546196979,103999.39569218954,104827.76316890605,-0.007902176405135908
2025-07-14,GBPUSD=X,SHORT,0.00991174599389386,309.24467808583256,104308.64037027537,104827.76316890605,-0.0049521499165657845
2025-08-14,AUDUSD=X,LONG,-0.006152640995493554,-192.53208507790504,104116.10828519746,104827.76316890605,-0.006788801575036141
2025-08-27,EURUSD=X,SHORT,0.009965840000016267,311.28134297839375,104427.38962817586,104827.76316890605,-0.003819346408117763
2025-09-02,GBPUSD=X,SHORT,0.00991117564093337,310.49946009871036,104737.88908827458,104827.76316890605,-0.0008573499797631667
2025-09-29,GBPUSD=X,SHORT,-0.006089988001396784,-191.3557463517658,104546.53334192281,104827.76316890605,-0.002682780004855223
2025-10-10,AUDUSD=X,LONG,-0.0061519779984853555,-192.95039188122743,104353.58295004159,104827.76316890605,-0.004523422083331452
2025-10-22,GBPUSD=X,SHORT,0.009910744004079406,310.26649395789826,104663.84944399948,104827.76316890605,-0.0015636480255947216
2025-11-04,EURUSD=X,SHORT,0.009965527202328253,312.9091316203697,104976.75857561985,104976.75857561985,0.0
2025-11-25,EURUSD=X,SHORT,-0.0060347588000919695,-190.0528252858056,104786.70575033405,104976.75857561985,-0.0018104276400275898
2025-11-27,GBPUSD=X,SHORT,-0.006091178399198446,-191.48235557687948,104595.22339475717,104976.75857561985,-0.0036344728684668537
2025-12-01,EURUSD=X,SHORT,-0.006034584799643299,-189.35662356398902,104405.86677119318,104976.75857561985,-0.005438268547941827
2025-12-16,USDJPY=X,LONG,-0.006038590915742254,-189.13929559041694,104216.72747560276,104976.75857561985,-0.007239993978949144
2026-02-09,GBPUSD=X,SHORT,-0.0060881796036900615,-190.3470463740871,104026.38042922868,104976.75857561985,-0.009053224344954147
2026-03-02,EURUSD=X,SHORT,0.00996611160121883,311.0215550485618,104337.40198427724,104976.75857561985,-0.00609045849784029
2026-03-02,GBPUSD=X,SHORT,0.009911060802432219,310.22830051019514,104647.63028478743,104976.75857561985,-0.003135249128456641
2026-03-23,GBPUSD=X,SHORT,-0.006089990398716128,-191.19091910482516,104456.43936568261,104976.75857561985,-0.004956518156944534
2026-03-30,GBPUSD=X,SHORT,0.00991001931848607,310.549599616255,104766.98896529886,104976.75857561985,-0.0019982481186050505
2026-04-01,EURUSD=X,SHORT,-0.006034807198775514,-189.6745737605461,104577.31439153831,104976.75857561985,-0.0038050725655984774
2026-04-08,EURUSD=X,SHORT,-0.006034507998421938,-189.32179204476708,104387.99259949355,104976.75857561985,-0.005608536442875511
